11:57:23   msbar.buttons(26).Key   closeorder
11:57:23   msbar.buttons(26).Caption   关闭
11:57:23   msbar.buttons(27).Key   openorder
11:57:23   msbar.buttons(27).Caption   打开
11:57:23   msbar.buttons(28).Key   lock
11:57:23   msbar.buttons(28).Caption   锁定
11:57:23   msbar.buttons(29).Key   checkstock
11:57:23   msbar.buttons(29).Caption   可用量
11:57:23   msbar.buttons(30).Key   unlock
11:57:23   msbar.buttons(30).Caption   解锁
11:57:23   msbar.buttons(31).Key   changeorder
11:57:23   msbar.buttons(31).Caption   变更
11:57:23   msbar.buttons(32).Key   addline
11:57:23   msbar.buttons(32).Caption   增行
11:57:23   msbar.buttons(33).Key   delline
11:57:23   msbar.buttons(33).Caption   删行
11:57:23   msbar.buttons(34).Key   insertline
11:57:23   msbar.buttons(34).Caption   插行
11:57:23   msbar.buttons(35).Key   fetchprice
11:57:23   msbar.buttons(35).Caption   取价
11:57:23   msbar.buttons(36).Key   attached
11:57:23   msbar.buttons(36).Caption   附件
11:57:23   msbar.buttons(37).Key   formatsetup
11:57:23   msbar.buttons(37).Caption   格式设置
11:57:23   msbar.buttons(38).Key   savelayout
11:57:23   msbar.buttons(38).Caption   保存布局
11:57:23   msbar.buttons(39).Key   pricehistory
11:57:23   msbar.buttons(39).Caption   价格
11:57:23   msbar.buttons(40).Key   locate
11:57:23   msbar.buttons(40).Caption   定位
11:57:23   msbar.buttons(41).Key   refresh
11:57:23   msbar.buttons(41).Caption   刷新
11:57:23   msbar.buttons(42).Key   billrelation
11:57:23   msbar.buttons(42).Caption   关联查询
11:57:23   msbar.buttons(43).Key   help
11:57:23   msbar.buttons(43).Caption   帮助
11:57:28   Function:->RunCommand is true   
11:57:28   objLogin.cAcc_Id    001
11:57:28   objForm.Name    frmBillVouchNew
11:57:52   domh: <xml xmlns:s="uuid:BDC6E3F0-6DA3-11d1-A2A3-00AA00C14882" xmlns:dt="uuid:C2F41010-65B3-11d1-A29F-00AA          domb:  <xml xmlns:s="uuid:BDC6E3F0-6DA3-11d1-A2A3-00AA00C14882" xmlns:dt="uuid:C2F41010-65B3-11d1-A29F-00AA
11:57:52   headertext name dreleasedate    Value:
11:57:52   headertext name breturnflag    Value:
11:57:52   headertext name zdsum    Value:
11:57:52   headertext name isumx    Value:
11:57:52   headertext name ivtid    Value:
11:57:52   headertext name ccuspersoncode    Value:
11:57:52   headertext name bmustbook    Value:
11:57:52   headertext name fbookratio    Value:
11:57:52   headertext name fbooksum    Value:
11:57:52   headertext name fbooknatsum    Value:
11:57:52   headertext name fgbooknatsum    Value:
11:57:52   headertext name fgbooksum    Value:
11:57:52   headertext name ccuscode    Value:
11:57:52   headertext name cstcode    Value:
11:57:52   headertext name cpersoncode    Value:
11:57:52   headertext name ccusphone    Value:
11:57:52   headertext name cdepcode    Value:
11:57:52   headertext name csccode    Value:
11:57:52   headertext name cpaycode    Value:
11:57:52   headertext name ccusname    Value:
11:57:52   headertext name iarmoney    Value:
11:57:52   headertext name csocode    Value:
11:57:52   headertext name ddate    Value:
11:57:52   headertext name cbustype    Value:
11:57:52   headertext name ccusoaddress    Value:
11:57:52   headertext name cpayname    Value:
11:57:52   headertext name cstname    Value:
11:57:52   headertext name ccusabbname    Value:
11:57:52   headertext name imoney    Value:
11:57:52   headertext name cdepname    Value:
11:57:52   headertext name itaxrate    Value:
11:57:52   headertext name cpersonname    Value:
11:57:52   headertext name cscname    Value:
11:57:52   headertext name iexchrate    Value:
11:57:52   headertext name cmemo    Value:
11:57:52   headertext name cexch_name    Value:
11:57:52   headertext name dpredatebt    Value:
11:57:52   headertext name dpremodatebt    Value:
11:57:52   headertext name cgatheringplan    Value:
11:57:52   headertext name cgatheringplanname    Value:
11:57:52   headertext name cdefine1    Value:
11:57:52   headertext name dmodifysystime    Value:
11:57:52   headertext name cmodifier    Value:
11:57:52   headertext name dmoddate    Value:
11:57:52   headertext name dcreatesystime    Value:
11:57:52   headertext name dclosedate    Value:
11:57:52   headertext name dclosesystime    Value:
11:57:52   headertext name cgathingcode    Value:
11:57:52   headertext name bcashsale    Value:
11:57:52   headertext name iflowid    Value:
11:57:52   headertext name cflowname    Value:
11:57:52   headertext name cchangeverifier    Value:
11:57:52   headertext name dchangeverifydate    Value:
11:57:52   headertext name dchangeverifytime    Value:
11:57:52   headertext name cchanger    Value:
11:57:52   headertext name ccrechpname    Value:
11:57:53   headertext name istatus    Value:
11:57:53   headertext name zdsumdx    Value:
11:57:53   headertext name isumdx    Value:
11:57:53   headertext name ccusaddress    Value:
11:57:53   headertext name ccusperson    Value:
11:57:53   headertext name coppcode    Value:
11:57:53   headertext name ccusdefine1    Value:
11:57:53   headertext name ccusdefine2    Value:
11:57:53   headertext name ccusdefine3    Value:
11:57:53   headertext name ccusdefine4    Value:
11:57:53   headertext name ccusdefine5    Value:
11:57:53   headertext name ccusdefine6    Value:
11:57:53   headertext name ccusdefine7    Value:
11:57:53   headertext name ccusdefine8    Value:
11:57:53   headertext name ccusdefine9    Value:
11:57:53   headertext name ccusdefine10    Value:
11:57:53   headertext name ccusdefine11    Value:
11:57:53   headertext name ccusdefine12    Value:
11:57:53   headertext name ccusdefine13    Value:
11:57:53   headertext name ccusdefine14    Value:
11:57:53   headertext name ccusdefine15    Value:
11:57:53   headertext name ccusdefine16    Value:
