"ABRSZ5101-3R-B195RM+SMB#","145.57725","0","106.83855","0","0","36.87255","1.86615" 
"ABRSZ5101-3R-B97RM+SMB#","72.42117","0","53.15115","0","0","18.34173","0.92829" 
"ABRSZ5101-4R-B104RM+SMB#","105.07328","0","84.41472","0","0","19.66432","0.99424" 
"ABRSZ5101-4R-B105RM+SMB#","106.0836","0","85.2264","0","0","19.8534","1.0038" 
"ABRSZ5101-4R-B107RM+SMB#","108.09996","0","86.84548","0","0","20.23156","1.02292" 
"ABRSZ5101-4R-B108RM+SMB#","109.11456","0","87.66144","0","0","20.42064","1.03248" 
"ABRSZ5101-4R-B110RM+SMB#","111.1396","0","89.2892","0","0","20.7988","1.0516" 
"ABRSZ5101-4R-B112RM+SMB#","113.1648","0","90.91712","0","0","21.17696","1.07072" 
"ABRSZ5101-4R-B118RM+SMB#","119.23192","0","95.7924","0","0","22.31144","1.12808" 
"ABRSZ5101-4R-B120RM+SMB#","121.2336","0","97.3968","0","0","22.6896","1.1472" 
"ABRSZ5101-4R-B124RM+SMB#","125.29456","0","100.6632","0","0","23.44592","1.18544" 
"ABRSZ5101-4R-B128RM+SMB#","129.34656","0","103.92064","0","0","24.20224","1.22368" 
"ABRSZ5101-4R-B133RM+SMB#","134.39384","0","107.97472","0","0","25.14764","1.27148" 
"ABRSZ5101-4R-B136RM+SMB#","137.39808","0","110.38304","0","0","25.71488","1.30016" 
"ABRSZ5101-4R-B144RM+SMB#","145.4976","0","116.89344","0","0","27.22752","1.37664" 
"ABRSZ5101-4R-B148RM+SMB#","149.56288","0","120.16416","0","0","27.98384","1.41488" 
"ABRSZ5101-4R-B154RM+SMB#","155.59544","0","125.00488","0","0","29.11832","1.47224" 
"ABRSZ5101-4R-B158RM+SMB#","159.63688","0","128.25176","0","0","29.87464","1.51048" 
"ABRSZ5101-4R-B162RM+SMB#","163.67184","0","131.49216","0","0","30.63096","1.54872" 
"ABRSZ5101-4R-B173RM+SMB#","174.80612","0","140.4414","0","0","32.71084","1.65388" 
"ABRSZ5101-4R-B180RM+SMB#","181.8936","0","146.1384","0","0","34.0344","1.7208" 
"ABRSZ5101-4R-B195RM+SMB#","196.9968","0","158.262","0","0","36.8706","1.8642" 
"ABRSZ5101-4R-B81RM+SMB#","81.83592","0","65.74608","0","0","15.31548","0.77436" 
"ABRSZ5101-5R-B105RM+SMB#","123.84225","0","102.984","0","0","19.8555","1.00275" 
"ABRSZ5101-5R-B112RM+SMB#","132.1152","0","109.8664","0","0","21.1792","1.0696" 
"ABRSZ5101-5R-B124RM+SMB#","146.2704","0","121.6378","0","0","23.4484","1.1842" 
"ABRSZ5101-5R-B128RM+SMB#","151.0016","0","125.5744","0","0","24.2048","1.2224" 
