18:34:26   Function:->Init is true   
18:34:26   msbar.buttons(1).Key   add
18:34:26   msbar.buttons(1).Caption   增加
18:34:26   msbar.buttons(2).Key   print
18:34:26   msbar.buttons(2).Caption   打印
18:34:26   msbar.buttons(3).Key   modify
18:34:26   msbar.buttons(3).Caption   修改
18:34:26   msbar.buttons(4).Key   preview
18:34:26   msbar.buttons(4).Caption   预览
18:34:26   msbar.buttons(5).Key   delete
18:34:26   msbar.buttons(5).Caption   删除
18:34:26   msbar.buttons(6).Key   output
18:34:26   msbar.buttons(6).Caption   输出
18:34:26   msbar.buttons(7).Key   outputandemail
18:34:26   msbar.buttons(7).Caption   邮件
18:34:26   msbar.buttons(8).Key   refervouch
18:34:26   msbar.buttons(8).Caption   生单
18:34:26   msbar.buttons(9).Key   tofirst
18:34:26   msbar.buttons(9).Caption   首张
18:34:26   msbar.buttons(10).Key   copy
18:34:26   msbar.buttons(10).Caption   复制
18:34:26   msbar.buttons(11).Key   toprevious
18:34:26   msbar.buttons(11).Caption   上张
18:34:26   msbar.buttons(12).Key   tonext
18:34:26   msbar.buttons(12).Caption   下张
18:34:26   msbar.buttons(13).Key   draft
18:34:26   msbar.buttons(13).Caption   草稿
18:34:26   msbar.buttons(14).Key   tolast
18:34:26   msbar.buttons(14).Caption   末张
18:34:26   msbar.buttons(15).Key   release
18:34:26   msbar.buttons(15).Caption   释放
18:34:26   msbar.buttons(16).Key   template
18:34:26   msbar.buttons(16).Caption   模板
18:34:26   msbar.buttons(17).Key   save
18:34:26   msbar.buttons(17).Caption   保存
18:34:26   msbar.buttons(18).Key   _CUSTDEFbtntest
18:34:26   msbar.buttons(18).Caption   测试
18:34:26   msbar.buttons(19).Key   cancel
18:34:26   msbar.buttons(19).Caption   放弃
18:34:26   msbar.buttons(20).Key   resubmit
18:34:26   msbar.buttons(20).Caption   重新提交
18:34:26   msbar.buttons(21).Key   submit
18:34:26   msbar.buttons(21).Caption   提交
18:34:26   msbar.buttons(22).Key   unsubmit
18:34:26   msbar.buttons(22).Caption   撤销
18:34:26   msbar.buttons(23).Key   verify
18:34:26   msbar.buttons(23).Caption   审核
18:34:26   msbar.buttons(24).Key   unverify
18:34:26   msbar.buttons(24).Caption   弃审
18:34:27   msbar.buttons(25).Key   viewverify
18:34:27   msbar.buttons(25).Caption   查审
18:34:27   msbar.buttons(26).Key   closeorder
18:34:27   msbar.buttons(26).Caption   关闭
18:34:27   msbar.buttons(27).Key   openorder
18:34:27   msbar.buttons(27).Caption   打开
18:34:27   msbar.buttons(28).Key   lock
18:34:27   msbar.buttons(28).Caption   锁定
18:34:27   msbar.buttons(29).Key   checkstock
18:34:27   msbar.buttons(29).Caption   可用量
18:34:27   msbar.buttons(30).Key   unlock
18:34:27   msbar.buttons(30).Caption   解锁
18:34:27   msbar.buttons(31).Key   changeorder
18:34:27   msbar.buttons(31).Caption   变更
18:34:27   msbar.buttons(32).Key   addline
18:34:27   msbar.buttons(32).Caption   增行
18:34:27   msbar.buttons(33).Key   delline
18:34:27   msbar.buttons(33).Caption   删行
18:34:27   msbar.buttons(34).Key   insertline
18:34:27   msbar.buttons(34).Caption   插行
18:34:27   msbar.buttons(35).Key   fetchprice
18:34:27   msbar.buttons(35).Caption   取价
