"CustCode","CustInvoice","CustInvoiceDate","CustPO","DONo","DODate","DOTime","ItemNo","PartCode","ModelNo","CustLot","LotNo","DelQty","MarkLot","FromStation","SEPOperationCode","ToStation","EPJOperationCode","NextStation","MaterialPrice","Currency","ProductCode","ParentCode","PlatingSpec","Remark1","Remark2","Remark3"
"90724","EPJ-A/L-09801","20150702","","","0","0","0354788KF","","","4002099402","4002099402","20310","","","20","","0040","","0.01509","USD","MTRL","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0354788KF","","","4002099405","4002099405","22670","","","20","","0040","","0.01509","USD","MTRL","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0354788KF","","","4002099407","4002099407","22840","","","20","","0040","","0.01509","USD","MTRL","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0271908KF","","","4003006627","4003006627","8200","","","20","","0040","","0.01877","USD","GCUT","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0271905KF","","","4003053902","4003053902","9530","","","20","","0040","","0.01727","USD","GCUT","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","4147502ML","","","4003032975","4003032975","9230","","","20","","0040","","0.04354","USD","GCHZ","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0243520ML","","","4003109857","4003109857","32170","","","20","","0040","","0.01452","USD","PC5S","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0243173JL","","","4003101207","4003101207","7090","","","10","","0030","","0.01814","USD","PC5S","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","A462000030L","","","4003003607","4003003607","8000","","","20","","0040","","0.02038","USD","PC5S","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0243798JL","","","4002096652","4002096652","29350","","","10","","0030","","0.01077","USD","PC5S","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0223809JL","","","4002840513","4002840513","17180","","","10","","0030","","0.02115","USD","GCUT","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","00275440L","","","4002229460","4002229460","6300","","","20","","0040","","0.00919","USD","T7NC","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","00275440L","","","4002229461","4002229461","5620","","","20","","0040","","0.00919","USD","T7NC","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0282787VF","","","4002697781","4002697781","30330","","","10","","0030","","0.00931","USD","GCUT","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0262806KL","","","4002742825","4002742825","30310","","","10","","0030","","0.01772","USD","PC5S","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0027375JL","","","4002791166","4002791166","10460","","","10","","0030","","0.00942","USD","T7NC","","","","",""
